Red,Yellow,Green,TimeActive,Time
1,0,1,3,4:56:57
1,1,0,6,4:59:12
0,1,1,8,4:59:57
1,1,0,9,5:00:14
1,0,1,8,5:00:37
1,0,1,7,5:03:17
1,0,1,1,5:04:01
1,0,1,6,5:04:33
0,1,1,4,5:06:42
1,1,0,8,5:09:22
1,0,1,1,5:12:06
1,1,0,5,5:13:34
1,1,0,8,5:14:51
0,1,1,1,5:15:02
1,1,0,4,5:16:51
1,1,0,1,5:17:30
0,1,1,3,5:20:40
1,0,1,7,5:20:52
0,1,1,7,5:24:49
1,1,0,3,5:27:30
0,1,1,8,5:29:24
1,1,0,9,5:29:38
1,0,1,4,5:30:04
0,1,1,6,5:31:49
0,1,1,9,5:34:11
0,1,1,3,5:34:48
0,1,1,6,5:35:57
0,1,1,1,5:37:06
1,1,0,6,5:39:46
0,1,1,6,5:39:57
1,0,1,1,5:41:15
1,0,1,2,5:44:29
0,1,1,6,5:45:25
1,1,0,9,5:47:38
1,1,0,1,5:47:59
1,1,0,8,5:50:52
1,0,1,3,5:52:06
0,1,1,7,5:52:42
1,1,0,7,5:55:46
0,1,1,9,5:59:02
1,0,1,7,5:59:09
1,0,1,4,6:01:07
0,1,1,1,6:02:17
0,1,1,9,6:05:19
0,1,1,4,6:15:38
0,1,1,2,6:18:31
0,1,1,9,6:19:09
1,0,1,8,6:19:17
1,1,0,2,6:22:31
0,1,1,2,6:24:52
1,1,0,1,6:28:26
0,1,1,4,6:30:21
1,0,1,6,6:30:50
1,1,0,4,6:31:56
1,0,1,7,6:34:04
0,1,1,4,6:34:16
1,1,0,2,6:35:51
1,0,1,9,6:37:42
1,1,0,8,6:40:09
1,1,0,4,6:44:43
1,0,1,8,6:45:50
0,1,1,8,6:46:47
0,1,1,1,6:48:23
1,1,0,4,6:53:55
1,1,0,3,6:57:11
1,1,0,7,7:03:58
0,1,1,2,7:07:12
1,1,0,3,7:08:30
0,1,1,7,7:10:34
1,1,0,2,7:15:40
1,1,0,6,7:17:55
0,1,1,3,7:18:59
1,0,1,1,7:19:17
1,1,0,7,7:20:27
1,1,0,9,7:21:55
0,1,1,3,7:22:06
1,0,1,8,7:23:12
1,0,1,3,7:23:47
0,1,1,3,7:24:30
1,0,1,8,7:25:08
0,1,1,6,7:30:40
0,1,1,6,7:31:33
1,1,0,6,7:36:07
1,0,1,1,7:37:55
0,1,1,1,7:38:09
0,1,1,3,7:39:42
1,1,0,6,7:39:54
1,1,0,1,7:40:56
1,1,0,4,7:41:06
1,1,0,2,7:41:47
1,1,0,8,7:42:22
1,0,1,9,7:42:57
0,1,1,6,7:43:50
1,0,1,3,7:44:54
1,0,1,2,7:46:25
1,0,1,5,7:46:57
1,1,0,1,7:50:42
0,1,1,5,7:51:33
1,1,0,2,7:54:30
1,1,0,6,7:55:14
0,1,1,3,7:59:00
0,1,1,8,7:59:56
0,1,1,4,8:01:38
1,1,0,9,8:04:06
0,1,1,2,8:16:06
1,1,0,2,8:17:35
0,1,1,8,8:32:32
1,0,1,9,8:33:26
0,1,1,7,8:36:11
1,1,0,1,8:42:00
1,1,0,9,8:42:12
0,1,1,6,8:45:27
0,1,1,6,8:47:44
1,0,1,1,8:49:04
0,1,1,1,8:52:23
0,1,1,3,8:54:07
0,1,1,4,8:54:58
0,1,1,1,8:55:38
1,1,0,8,8:57:03
1,1,0,1,8:58:02
1,1,0,5,8:58:35
1,1,0,2,8:59:16
1,1,0,4,9:02:16
0,1,1,7,9:04:38
1,0,1,4,9:04:56
0,1,1,4,9:05:41
1,0,1,9,9:09:54
1,0,1,9,9:13:38
0,1,1,2,9:15:05
1,0,1,4,9:16:07
0,1,1,2,9:18:01
0,1,1,3,9:21:05
1,0,1,8,9:23:08
0,1,1,6,9:23:17
1,0,1,1,9:23:58
1,1,0,1,9:25:02
1,1,0,9,9:26:59
1,1,0,6,9:29:22
1,1,0,9,9:38:33
1,1,0,4,9:41:30
1,1,0,2,9:41:56
1,0,1,6,9:43:28
0,1,1,1,9:45:35
1,0,1,2,9:47:23
1,0,1,4,9:47:38
1,1,0,1,9:48:10
1,0,1,3,9:48:13
1,0,1,6,9:51:09
1,0,1,4,9:51:38
0,1,1,8,9:53:19
1,0,1,1,9:55:50
0,1,1,7,9:56:08
1,0,1,7,9:58:43
0,1,1,9,10:00:01
1,0,1,5,10:03:15
0,1,1,9,10:04:17
1,1,0,6,10:06:11
1,0,1,6,10:08:11
1,0,1,8,10:11:29
1,0,1,1,10:11:49
0,1,1,4,10:12:51
1,1,0,5,10:13:28
0,1,1,7,10:14:29
1,1,0,3,10:14:38
0,1,1,1,10:16:52
1,1,0,4,10:19:23
1,1,0,6,10:20:57
1,1,0,6,10:21:11
1,1,0,7,10:22:18
0,1,1,7,10:27:33
0,1,1,5,10:28:11
0,1,1,3,10:28:50
1,1,0,1,10:29:10
1,1,0,9,10:29:23
1,1,0,7,10:29:46
0,1,1,8,10:30:49
1,1,0,6,10:31:59
1,1,0,6,10:32:45
1,0,1,9,10:33:59
0,1,1,5,10:35:29
1,1,0,4,10:35:42
1,1,0,6,10:38:38
1,1,0,2,10:40:24
1,1,0,7,10:42:27
0,1,1,6,10:50:01
0,1,1,2,10:51:04
1,0,1,4,10:53:33
1,1,0,6,10:55:13
1,0,1,4,10:55:28
1,0,1,3,10:55:34
0,1,1,7,10:56:27
1,1,0,6,11:00:27
1,0,1,7,11:01:03
0,1,1,4,11:01:07
1,1,0,8,11:01:39
1,1,0,8,11:03:03
1,1,0,2,11:04:49
0,1,1,4,11:05:14
0,1,1,7,11:05:44
0,1,1,6,11:09:39
1,0,1,6,11:10:50
1,1,0,6,11:13:18
1,1,0,6,11:14:03
1,1,0,5,11:15:49
0,1,1,5,11:16:52
1,0,1,9,11:23:14
0,1,1,9,11:26:55
0,1,1,3,11:30:10
0,1,1,1,11:30:11
1,1,0,9,11:30:22
0,1,1,4,11:31:22
0,1,1,8,11:31:39
1,0,1,2,11:33:17
1,0,1,8,11:33:38
1,1,0,3,11:34:37
1,1,0,2,11:35:25
1,1,0,3,11:44:01
1,1,0,1,11:47:59
1,1,0,1,11:52:43
0,1,1,4,11:53:59
1,1,0,7,11:57:09
0,1,1,7,11:58:06
1,1,0,6,11:58:44
0,1,1,8,11:59:40
1,0,1,5,12:01:34
0,1,1,8,12:03:04
0,1,1,1,12:03:12
1,1,0,7,12:04:08
1,0,1,1,12:05:09
0,1,1,5,12:05:56
0,1,1,8,12:11:17
0,1,1,6,12:15:10
1,0,1,8,12:15:44
0,1,1,8,12:16:32
0,1,1,5,12:18:24
1,1,0,1,12:22:28
0,1,1,6,12:24:05
1,0,1,4,12:25:45
0,1,1,2,12:27:18
0,1,1,4,12:27:51
1,1,0,2,12:30:45
1,1,0,2,12:33:50
1,0,1,6,12:35:04
0,1,1,8,12:36:17
1,0,1,7,12:38:45
1,0,1,7,12:41:38
1,0,1,6,12:47:27
0,1,1,3,12:49:47
1,1,0,3,12:54:21
1,1,0,4,12:57:03
1,1,0,1,12:57:39
0,1,1,1,12:58:01
0,1,1,9,12:58:13
1,1,0,9,13:02:40
1,0,1,7,13:03:31
0,1,1,6,13:08:24
0,1,1,2,13:14:34
1,1,0,4,13:19:06
1,0,1,2,13:19:32
0,1,1,2,13:21:36
0,1,1,2,13:24:24
1,1,0,2,13:27:37
1,1,0,2,13:29:07
1,0,1,1,13:29:08
1,1,0,4,13:30:16
1,0,1,3,13:35:01
1,1,0,2,13:37:02
0,1,1,5,13:38:24
0,1,1,5,13:38:36
0,1,1,6,13:38:58
1,1,0,3,13:39:10
1,0,1,6,13:40:46
0,1,1,3,13:41:08
0,1,1,9,13:42:28
1,0,1,7,13:46:04
1,1,0,2,13:57:15
1,0,1,9,13:58:26
0,1,1,2,14:03:48
1,1,0,2,14:04:47
1,1,0,3,14:06:24
1,0,1,6,14:07:13
1,1,0,8,14:12:05
0,1,1,8,14:13:24
1,1,0,7,14:16:20
1,1,0,4,14:17:37
1,1,0,4,14:19:01
1,1,0,7,14:21:06
0,1,1,3,14:21:30
1,0,1,3,14:22:04
1,0,1,8,14:23:24
1,1,0,9,14:26:35
1,1,0,1,14:29:22
1,0,1,6,14:29:28
1,0,1,3,14:31:05
1,0,1,6,14:31:19
0,1,1,5,14:32:54
1,0,1,7,14:33:25
1,1,0,1,14:37:24
0,1,1,4,14:40:17
1,1,0,8,14:40:34
0,1,1,2,14:41:37
0,1,1,1,14:41:53
1,1,0,2,14:43:18
1,0,1,4,14:44:24
1,1,0,3,14:46:32
1,1,0,9,14:47:08
1,0,1,7,14:49:43
1,1,0,4,14:52:27
1,1,0,2,14:55:05
1,1,0,2,15:03:25
1,1,0,5,15:03:34
0,1,1,9,15:06:13
1,1,0,1,15:07:22
1,1,0,4,15:08:18
0,1,1,7,15:09:21
1,0,1,5,15:09:26
1,0,1,9,15:11:45
0,1,1,3,15:14:33
1,1,0,3,15:16:10
1,1,0,4,15:19:08
0,1,1,8,15:20:19
0,1,1,6,15:23:19
1,1,0,1,15:24:31
0,1,1,5,15:28:36
0,1,1,5,15:32:03
1,1,0,5,15:33:12
1,0,1,7,15:37:02
1,1,0,8,15:37:52
0,1,1,6,15:38:21
1,1,0,9,15:41:19
1,0,1,6,15:41:37
1,1,0,9,15:44:56
0,1,1,8,15:46:11
0,1,1,5,15:47:40
1,1,0,5,15:58:29
0,1,1,1,15:59:50
1,1,0,2,16:02:41
0,1,1,7,16:03:20
0,1,1,5,16:05:57
1,1,0,2,16:06:30
0,1,1,3,16:06:57
1,1,0,4,16:08:12
1,0,1,3,16:08:40
0,1,1,5,16:10:23
1,0,1,9,16:12:18
0,1,1,3,16:12:32
1,0,1,1,16:15:06
0,1,1,7,16:15:46
1,1,0,7,16:16:07
1,1,0,7,16:16:26
0,1,1,3,16:17:25
1,1,0,8,16:20:18
1,0,1,5,16:21:11
1,0,1,9,16:26:15
0,1,1,7,16:31:05
0,1,1,1,16:34:03
1,0,1,2,16:35:13
1,1,0,2,16:36:17
1,1,0,7,16:36:29
1,0,1,4,16:37:09
1,0,1,9,16:39:46
1,0,1,8,16:46:02
0,1,1,7,16:49:37
0,1,1,1,16:50:47
1,1,0,7,16:52:08
0,1,1,5,16:57:44
1,1,0,3,16:57:47
0,1,1,3,17:01:17
0,1,1,6,17:02:36
1,0,1,1,17:02:44
1,1,0,2,17:03:05
1,0,1,4,17:04:13
1,1,0,9,17:05:16
1,0,1,9,17:05:42
1,1,0,1,17:05:59
0,1,1,4,17:06:44
0,1,1,1,17:07:22
0,1,1,8,17:07:41
1,1,0,8,17:08:10
1,1,0,8,17:08:18
1,1,0,2,17:13:28
0,1,1,5,17:16:27
0,1,1,8,17:21:20
1,1,0,6,17:23:20
1,1,0,3,17:24:27
0,1,1,3,17:26:41
1,1,0,1,17:28:44
1,1,0,6,17:29:07
1,1,0,1,17:36:43
0,1,1,1,17:38:12
1,1,0,7,17:43:54
0,1,1,2,17:44:01
1,1,0,7,17:45:54
1,1,0,5,17:47:52
1,1,0,7,17:48:06
1,0,1,6,17:48:12
0,1,1,3,17:48:42
1,0,1,5,17:50:08
1,1,0,1,17:50:37
1,0,1,1,17:52:26
1,0,1,1,17:53:13
1,1,0,2,17:53:15
0,1,1,9,17:54:42
0,1,1,9,17:55:46
1,1,0,5,17:58:37
1,1,0,8,17:59:56
1,0,1,1,18:00:13
1,0,1,5,18:04:31
0,1,1,1,18:05:18
1,1,0,3,18:07:24
1,0,1,3,18:10:19
1,1,0,5,18:10:34
1,0,1,8,18:13:52
1,1,0,9,18:19:47
1,1,0,4,18:20:07
1,0,1,9,18:20:24
0,1,1,3,18:20:39
0,1,1,4,18:21:46
1,1,0,8,18:22:01
0,1,1,3,18:22:25
0,1,1,7,18:24:05
1,1,0,3,18:28:31
1,1,0,7,18:34:13
0,1,1,3,18:37:01
1,1,0,5,18:39:16
1,0,1,7,18:43:24
1,0,1,5,18:43:50
0,1,1,4,18:43:54
1,1,0,4,18:44:32
0,1,1,3,18:45:57
0,1,1,9,18:47:26
0,1,1,5,18:53:25
0,1,1,3,18:56:11
0,1,1,1,19:01:09
1,0,1,8,19:02:03
0,1,1,8,19:03:39
1,1,0,9,19:04:58
0,1,1,2,19:05:04
1,1,0,8,19:05:29
0,1,1,9,19:07:37
1,1,0,5,19:09:09
0,1,1,1,19:09:19
1,0,1,6,19:09:25
1,1,0,9,19:10:20
1,0,1,6,19:11:41
0,1,1,5,19:21:14
0,1,1,9,19:21:23
1,1,0,7,19:22:23
1,1,0,8,19:23:31
1,1,0,9,19:23:57
0,1,1,7,19:29:31
1,1,0,7,19:32:04
1,0,1,8,19:33:35
1,1,0,1,19:33:41
0,1,1,1,19:33:51
0,1,1,5,19:35:17
1,1,0,4,19:35:38
0,1,1,9,19:36:23
1,1,0,4,19:36:27
0,1,1,7,19:36:42
1,1,0,1,19:38:05
1,1,0,3,19:41:53
1,1,0,8,19:42:35
1,1,0,2,19:44:09
1,1,0,9,19:44:26
1,0,1,1,19:44:36
1,1,0,2,19:46:25
0,1,1,3,19:46:31
1,0,1,8,19:47:37
1,1,0,1,19:50:00
1,0,1,4,19:50:20
0,1,1,2,19:52:37
1,0,1,9,19:58:33
0,1,1,6,20:01:11
1,1,0,3,20:01:38
0,1,1,3,20:04:01
1,1,0,1,20:07:02
1,1,0,2,20:07:15
1,0,1,1,20:07:16
1,0,1,9,20:09:37
1,1,0,8,20:12:04
1,0,1,2,20:15:02
1,1,0,3,20:16:17
1,0,1,5,20:17:23
0,1,1,7,20:17:54
0,1,1,6,20:18:00
0,1,1,8,20:18:41
1,1,0,9,20:23:25
1,1,0,1,20:24:02
1,0,1,3,20:26:48
0,1,1,4,20:27:17
1,1,0,4,20:34:25
1,1,0,7,20:35:04
1,0,1,3,20:37:08
0,1,1,3,20:40:08
0,1,1,5,20:41:33
0,1,1,4,20:41:46
0,1,1,6,20:44:17
0,1,1,4,20:44:38
1,1,0,2,20:46:11
0,1,1,2,20:46:16
1,0,1,1,20:49:53
0,1,1,3,20:50:01
